time_tag,xrsa,xrsb
2026-04-23T17:37:00Z,1.5542499909315666e-07,2.934284566435963e-06
2026-04-23T17:38:00Z,1.4381454604972532e-07,2.7621267690847162e-06
2026-04-23T17:39:00Z,1.338094506309062e-07,2.6098425678355852e-06
2026-04-23T17:40:00Z,1.2605073607119266e-07,2.4848663997545373e-06
2026-04-23T17:41:00Z,1.19497912010047e-07,2.3727484403934795e-06
2026-04-23T17:42:00Z,1.1607367866872664e-07,2.278762622154318e-06
2026-04-23T17:43:00Z,1.1121748855202895e-07,2.2057197384128813e-06
2026-04-23T17:44:00Z,1.0736346212070202e-07,2.145466851288802e-06
2026-04-23T17:45:00Z,1.0777982595300273e-07,2.09780137083726e-06
2026-04-23T17:46:00Z,1.0707935160780835e-07,2.0601141841325443e-06
2026-04-23T17:47:00Z,1.0422997576142734e-07,2.0063012016180437e-06
2026-04-23T17:48:00Z,1.0252298210389199e-07,1.960876488737995e-06
2026-04-23T17:49:00Z,1.011121355531941e-07,1.925871174535132e-06
2026-04-23T17:50:00Z,1.0668445327155496e-07,1.940780748554971e-06
2026-04-23T17:51:00Z,1.1765478546976738e-07,1.9885055735358037e-06
2026-04-23T17:52:00Z,1.1459328419505255e-07,1.985404651350109e-06
2026-04-23T17:53:00Z,1.0664953009609235e-07,1.941765049195965e-06
2026-04-23T17:54:00Z,1.0106789716246567e-07,1.8911284769274062e-06
2026-04-23T17:55:00Z,9.556172386737671e-08,1.8374996670900146e-06
2026-04-23T17:56:00Z,9.193695404974278e-08,1.7799153511077748e-06
2026-04-23T17:57:00Z,8.931436212833432e-08,1.7386516901751747e-06
2026-04-23T17:58:00Z,8.685590557888645e-08,1.703874204395106e-06
2026-04-23T17:59:00Z,8.79649562079976e-08,1.6806247913336847e-06
2026-04-23T18:00:00Z,9.01507988260164e-08,1.6606214785497286e-06
2026-04-23T18:01:00Z,8.920386562749627e-08,1.6454793012599112e-06
2026-04-23T18:02:00Z,9.029584902009447e-08,1.638159915273718e-06
2026-04-23T18:03:00Z,8.870440382224842e-08,1.6380653278247337e-06
2026-04-23T18:04:00Z,8.691353770018395e-08,1.6179824342543725e-06
2026-04-23T18:05:00Z,8.539690554698609e-08,1.603342184353096e-06
2026-04-23T18:06:00Z,8.611705482053367e-08,1.5923928913252894e-06
2026-04-23T18:07:00Z,8.68266525344552e-08,1.5951158047755598e-06
2026-04-23T18:08:00Z,8.808817852923312e-08,1.6132619293784956e-06
2026-04-23T18:09:00Z,9.069222528523824e-08,1.6520374401807203e-06
2026-04-23T18:10:00Z,8.855814570551956e-08,1.6601853758402285e-06
2026-04-23T18:11:00Z,8.95660789979047e-08,1.664081992203137e-06
2026-04-23T18:12:00Z,9.385104249304277e-08,1.690581029833993e-06
2026-04-23T18:13:00Z,9.803763845184221e-08,1.7312559066340327e-06
2026-04-23T18:14:00Z,9.74720251178951e-08,1.7626337012188742e-06
2026-04-23T18:15:00Z,9.777878773320481e-08,1.7695060705591459e-06
2026-04-23T18:16:00Z,9.795522970534876e-08,1.7349117342746467e-06
2026-04-23T18:17:00Z,9.521292554381944e-08,1.70727355452982e-06
2026-04-23T18:18:00Z,9.400714873208926e-08,1.6965284430625616e-06
2026-04-23T18:19:00Z,9.204725159861482e-08,1.6741562376410002e-06
2026-04-23T18:20:00Z,9.084447327722955e-08,1.6466462966491235e-06
2026-04-23T18:21:00Z,8.900664028033134e-08,1.632983298804902e-06
2026-04-23T18:22:00Z,9.143042944970148e-08,1.632944531593239e-06
2026-04-23T18:23:00Z,9.236745768248511e-08,1.6473024970764527e-06
2026-04-23T18:24:00Z,9.384208965457219e-08,1.6674354128554114e-06
2026-04-23T18:25:00Z,9.504460507514523e-08,1.6629543324597762e-06
2026-04-23T18:26:00Z,9.215488461222776e-08,1.6440091030744952e-06
2026-04-23T18:27:00Z,9.272500989254695e-08,1.6365761439374182e-06
2026-04-23T18:28:00Z,9.129452394063264e-08,1.604256908649404e-06
2026-04-23T18:29:00Z,9.02187551332645e-08,1.5708834553151974e-06
2026-04-23T18:30:00Z,9.058480543444603e-08,1.5510963748965878e-06
2026-04-23T18:31:00Z,1.110932004166898e-07,1.6761944152676733e-06
2026-04-23T18:32:00Z,1.144005352671229e-07,1.7199176909343805e-06
2026-04-23T18:33:00Z,1.0534410677109918e-07,1.6840348280311446e-06
2026-04-23T18:34:00Z,9.696225333755137e-08,1.6272525726890308e-06
2026-04-23T18:35:00Z,9.275536427821862e-08,1.5760284668431268e-06
2026-04-23T18:36:00Z,9.287180091632763e-08,1.5525663457083283e-06
2026-04-23T18:37:00Z,9.424419999959355e-08,1.5236064427881502e-06
2026-04-23T18:38:00Z,8.781302796023738e-08,1.4929851204215083e-06
2026-04-23T18:39:00Z,8.670594553450428e-08,1.4727078223586432e-06
2026-04-23T18:40:00Z,8.80068853348348e-08,1.467593733650574e-06
2026-04-23T18:41:00Z,8.980848065220925e-08,1.483832988924405e-06
2026-04-23T18:42:00Z,9.116602939229779e-08,1.499898303336522e-06
2026-04-23T18:43:00Z,9.465972539146605e-08,1.5095982917046058e-06
2026-04-23T18:44:00Z,9.822326774155954e-08,1.5264861303876387e-06
2026-04-23T18:45:00Z,1.0606302680571389e-07,1.5785022924319492e-06
2026-04-23T18:46:00Z,1.1005048605738921e-07,1.6210537978622597e-06
2026-04-23T18:47:00Z,1.1405931843455619e-07,1.6494375358888647e-06
2026-04-23T18:48:00Z,1.1727101423275599e-07,1.664773776610673e-06
2026-04-23T18:49:00Z,1.301543619547374e-07,1.770627022779081e-06
2026-04-23T18:50:00Z,1.532823858951815e-07,1.9547342162695713e-06
2026-04-23T18:51:00Z,1.4708004414387688e-07,1.953487526407116e-06
2026-04-23T18:52:00Z,1.4802193959440046e-07,1.9304584384371992e-06
2026-04-23T18:53:00Z,1.4572793816114427e-07,1.9068787651121966e-06
2026-04-23T18:54:00Z,1.460754361914951e-07,1.8904837588706869e-06
2026-04-23T18:55:00Z,1.4243910584355035e-07,1.8824838434738922e-06
2026-04-23T18:56:00Z,1.4368625045335648e-07,1.8901722569353296e-06
2026-04-23T18:57:00Z,1.4353057053995144e-07,1.901112227642443e-06
2026-04-23T18:58:00Z,1.4451072161136835e-07,1.941139771588496e-06
2026-04-23T18:59:00Z,1.4242384338558622e-07,1.9645867723738775e-06
2026-04-23T19:00:00Z,1.3986253577513708e-07,1.977634383365512e-06
2026-04-23T19:01:00Z,1.3642346630149405e-07,1.9584283563744975e-06
2026-04-23T19:02:00Z,1.3237210794159182e-07,1.933810608534259e-06
2026-04-23T19:03:00Z,1.2123238946060155e-07,1.8953909375341027e-06
2026-04-23T19:04:00Z,1.2007922123302706e-07,1.8737832760962192e-06
2026-04-23T19:05:00Z,1.202559332114106e-07,1.850326725616469e-06
2026-04-23T19:06:00Z,1.1826118395674712e-07,1.824913965720043e-06
2026-04-23T19:07:00Z,1.1477981587404429e-07,1.7965655842999695e-06
2026-04-23T19:08:00Z,1.1070137873048225e-07,1.760110762916156e-06
2026-04-23T19:09:00Z,1.1295369972685876e-07,1.7422856899429462e-06
2026-04-23T19:10:00Z,1.1117371201407877e-07,1.7239582348338445e-06
2026-04-23T19:11:00Z,1.0784282267195522e-07,1.7066109876395785e-06
2026-04-23T19:12:00Z,1.0821663920523861e-07,1.6989644109344226e-06
2026-04-23T19:13:00Z,1.0636146186016049e-07,1.6884953311091522e-06
2026-04-23T19:14:00Z,1.0525899085678248e-07,1.6722210602893028e-06
2026-04-23T19:15:00Z,1.0365744884666128e-07,1.6690173652023077e-06
2026-04-23T19:16:00Z,1.057141645333104e-07,1.6883503803910571e-06
2026-04-23T19:17:00Z,1.0654361659589995e-07,1.6996260683299624e-06
2026-04-23T19:18:00Z,1.0616825818487996e-07,1.7015120192809263e-06
2026-04-23T19:19:00Z,1.0727853805292398e-07,1.6845281152200187e-06
2026-04-23T19:20:00Z,1.0588641430331336e-07,1.6854659179443843e-06
2026-04-23T19:21:00Z,1.045546937916697e-07,1.6793425174910226e-06
2026-04-23T19:22:00Z,1.043716082449464e-07,1.6634249959679437e-06
2026-04-23T19:23:00Z,1.0348472301302536e-07,1.6461300447190297e-06
2026-04-23T19:24:00Z,1.0225402746755208e-07,1.6388066796935163e-06
2026-04-23T19:25:00Z,1.0213548762294522e-07,1.6205314068429288e-06
2026-04-23T19:26:00Z,1.0191791233182812e-07,1.6075985058705555e-06
2026-04-23T19:27:00Z,1.0333180711086243e-07,1.614889129086805e-06
2026-04-23T19:28:00Z,1.0738513367414271e-07,1.6383125966967782e-06
2026-04-23T19:29:00Z,1.0859221788450668e-07,1.6569962326684617e-06
2026-04-23T19:30:00Z,1.0911590209161659e-07,1.661738679104019e-06
2026-04-23T19:31:00Z,1.1423450274605784e-07,1.6930953279370442e-06
2026-04-23T19:32:00Z,1.1918818643152918e-07,1.7459628907090519e-06
2026-04-23T19:33:00Z,1.2494710688315536e-07,1.7880154246086022e-06
2026-04-23T19:34:00Z,1.2931994319842488e-07,1.8235533616461908e-06
2026-04-23T19:35:00Z,1.2958010131569608e-07,1.8447186675984995e-06
2026-04-23T19:36:00Z,1.290425188926747e-07,1.8482143104847637e-06
2026-04-23T19:37:00Z,1.2449719122287206e-07,1.8369549934504903e-06
2026-04-23T19:38:00Z,1.204045645408769e-07,1.8283831195731182e-06
2026-04-23T19:39:00Z,1.200224346575851e-07,1.8371202941125375e-06
2026-04-23T19:40:00Z,1.1623281181982748e-07,1.8289769059265382e-06
2026-04-23T19:41:00Z,1.1338732974763843e-07,1.8171105011788313e-06
2026-04-23T19:42:00Z,1.115460648293265e-07,1.8050618564302567e-06
2026-04-23T19:43:00Z,1.1181481340827304e-07,1.8120164213542012e-06
2026-04-23T19:44:00Z,1.1959816959006275e-07,1.8334370679440326e-06
2026-04-23T19:45:00Z,1.1781369835262012e-07,1.8360894955549156e-06
2026-04-23T19:46:00Z,1.1715684422597406e-07,1.831983922784275e-06
2026-04-23T19:47:00Z,1.1852558401415081e-07,1.8353400719206547e-06
2026-04-23T19:48:00Z,1.2343826938376878e-07,1.8569386384115205e-06
2026-04-23T19:49:00Z,1.2787995729013346e-07,1.878964098978031e-06
2026-04-23T19:50:00Z,1.3283907662753336e-07,1.8954285678773886e-06
2026-04-23T19:51:00Z,1.3371526108585385e-07,1.896473463602888e-06
2026-04-23T19:52:00Z,1.3020725475598738e-07,1.8828442307494697e-06
2026-04-23T19:53:00Z,1.2693038797806366e-07,1.875562247732887e-06
2026-04-23T19:54:00Z,1.2704981600109022e-07,1.8751210291156895e-06
2026-04-23T19:55:00Z,1.2117693870550283e-07,1.8582413758849725e-06
2026-04-23T19:56:00Z,1.1924844045552163e-07,1.8384013173999847e-06
2026-04-23T19:57:00Z,1.1850962522430564e-07,1.8147829905501567e-06
2026-04-23T19:58:00Z,1.1490832463323386e-07,1.7922276356330258e-06
2026-04-23T19:59:00Z,1.1250034503973438e-07,1.7823512052927981e-06
2026-04-23T20:00:00Z,1.1366925178890597e-07,1.7850479707703926e-06
2026-04-23T20:01:00Z,1.3358402384255896e-07,1.9020297941096942e-06
2026-04-23T20:02:00Z,1.6070643482635205e-07,2.0337715795903932e-06
2026-04-23T20:03:00Z,1.9372700421627087e-07,2.193095951952273e-06
2026-04-23T20:04:00Z,3.489394941880164e-07,2.8087699774914654e-06
2026-04-23T20:05:00Z,6.215013286237081e-07,4.0600530155643355e-06
2026-04-23T20:06:00Z,5.806430181110045e-07,4.178287326794816e-06
2026-04-23T20:07:00Z,4.671727253935387e-07,3.911997737304773e-06
2026-04-23T20:08:00Z,3.617827246671368e-07,3.5355656109459233e-06
2026-04-23T20:09:00Z,2.8211601943439746e-07,3.19024456985062e-06
2026-04-23T20:10:00Z,2.3105360469344305e-07,2.917138999691815e-06
2026-04-23T20:11:00Z,1.9219622515720403e-07,2.6743866783363046e-06
